"Plot Title: Four Mile Brook"
"#","Date Time, GMT-05:00","Temp, °C","Coupler Detached","End Of File"
312,03/20/16 03:30:00 PM,7.645,,
313,03/20/16 03:30:00 PM,7.845,,
314,03/20/16 03:30:00 PM,7.720,,
315,03/20/16 03:30:00 PM,7.544,,
316,03/20/16 03:30:00 PM,7.368,,
317,03/20/16 03:30:00 PM,7.116,,
318,03/20/16 03:30:00 PM,6.864,,
319,03/20/16 03:30:00 PM,6.611,,
320,03/20/16 03:30:00 PM,6.433,,
321,03/20/16 03:30:00 PM,6.255,,
322,03/20/16 03:30:00 PM,6.102,,
323,03/20/16 03:30:00 PM,5.949,,
324,03/20/16 03:30:00 PM,5.770,,
325,03/20/16 03:30:00 PM,5.308,,
326,03/20/16 03:30:00 PM,5.076,,
327,03/20/16 03:30:00 PM,4.921,,
328,03/20/16 03:30:00 PM,4.376,,
329,03/20/16 03:30:00 PM,4.089,,
330,03/20/16 03:30:00 PM,3.906,,
331,03/20/16 03:30:00 PM,3.906,,
332,03/20/16 03:30:00 PM,4.011,,
333,03/20/16 03:30:00 PM,4.168,,
334,03/20/16 03:30:00 PM,4.246,,
335,03/20/16 03:30:00 PM,4.272,,
336,03/20/16 03:30:00 PM,4.298,,
337,03/20/16 03:30:00 PM,4.194,,
338,03/20/16 03:30:00 PM,4.037,,
339,03/20/16 03:30:00 PM,3.722,,
340,03/20/16 03:30:00 PM,3.380,,
341,03/20/16 03:30:00 PM,3.063,,
342,03/20/16 03:30:00 PM,2.823,,
343,03/20/16 03:30:00 PM,2.637,,
344,03/20/16 03:30:00 PM,2.477,,
345,03/20/16 03:30:00 PM,2.316,,
346,03/20/16 03:30:00 PM,2.155,,
347,03/20/16 03:30:00 PM,1.967,,
348,03/20/16 03:30:00 PM,1.832,,
349,03/20/16 03:30:00 PM,1.751,,
350,03/20/16 03:30:00 PM,1.724,,
351,03/20/16 03:30:00 PM,1.507,,
352,03/20/16 03:30:00 PM,1.344,,
353,03/20/16 03:30:00 PM,1.180,,
354,03/20/16 03:30:00 PM,1.235,,
355,03/20/16 03:30:00 PM,1.180,,
356,03/20/16 03:30:00 PM,1.099,,
357,03/20/16 03:30:00 PM,0.797,,
358,03/20/16 03:30:00 PM,0.495,,
359,03/20/16 03:30:00 PM,0.329,,
360,03/20/16 03:30:00 PM,0.412,,
361,03/20/16 03:30:00 PM,0.384,,
362,03/20/16 03:30:00 PM,0.577,,
363,03/20/16 03:30:00 PM,0.742,,
364,03/20/16 03:30:00 PM,0.825,,
365,03/20/16 03:30:00 PM,0.852,,
366,03/20/16 03:30:00 PM,0.880,,
367,03/20/16 03:30:00 PM,0.907,,
368,03/20/16 03:30:00 PM,0.907,,
369,03/20/16 03:30:00 PM,0.880,,
370,03/20/16 03:30:00 PM,0.770,,
371,03/20/16 03:30:00 PM,0.660,,
372,03/20/16 03:30:00 PM,0.522,,
373,03/20/16 03:30:00 PM,0.412,,
374,03/20/16 03:30:00 PM,0.301,,
375,03/20/16 03:30:00 PM,0.190,,
376,03/20/16 03:30:00 PM,0.079,,
377,03/20/16 03:30:00 PM,0.079,,
378,03/20/16 03:30:00 PM,0.135,,
379,03/20/16 03:30:00 PM,0.301,,
380,03/20/16 03:30:00 PM,0.467,,
381,03/20/16 03:30:00 PM,0.880,,
382,03/20/16 03:30:00 PM,1.453,,
383,03/20/16 03:30:00 PM,2.021,,
384,03/20/16 03:30:00 PM,2.477,,
385,03/20/16 03:30:00 PM,2.637,,
386,03/20/16 03:30:00 PM,2.637,,
387,03/20/16 03:30:00 PM,2.396,,
388,03/20/16 03:30:00 PM,2.155,,
389,03/20/16 03:30:00 PM,1.940,,
390,03/20/16 03:30:00 PM,1.778,,
391,03/20/16 03:30:00 PM,1.615,,
392,03/20/16 03:30:00 PM,1.453,,
393,03/20/16 03:30:00 PM,1.262,,
394,03/20/16 03:30:00 PM,1.071,,
395,03/20/16 03:30:00 PM,0.852,,
396,03/20/16 03:30:00 PM,0.660,,
397,03/20/16 03:30:00 PM,0.467,,
398,03/20/16 03:30:00 PM,0.301,,
399,03/20/16 03:30:00 PM,0.135,,
400,03/20/16 03:30:00 PM,0.024,,
401,03/20/16 03:30:00 PM,0.079,,
402,03/20/16 03:30:00 PM,0.273,,
403,03/20/16 03:30:00 PM,0.577,,
404,03/20/16 03:30:00 PM,1.017,,
405,03/20/16 03:30:00 PM,1.534,,
406,03/20/16 03:30:00 PM,2.047,,
407,03/20/16 03:30:00 PM,2.477,,
408,03/20/16 03:30:00 PM,2.664,,
409,03/20/16 03:30:00 PM,2.690,,
410,03/20/16 03:30:00 PM,2.690,,
411,03/20/16 03:30:00 PM,2.664,,
412,03/20/16 03:30:00 PM,2.637,,
413,03/20/16 03:30:00 PM,2.610,,
414,03/20/16 03:30:00 PM,2.610,,
415,03/20/16 03:30:00 PM,2.610,,
416,03/20/16 03:30:00 PM,2.637,,
417,03/20/16 03:30:00 PM,2.690,,
418,03/20/16 03:30:00 PM,2.744,,
419,03/20/16 03:30:00 PM,2.797,,
420,03/20/16 03:30:00 PM,2.877,,
421,03/20/16 03:30:00 PM,2.903,,
422,03/20/16 03:30:00 PM,2.956,,
423,03/20/16 03:30:00 PM,3.009,,
424,03/20/16 03:30:00 PM,3.063,,
425,03/20/16 03:30:00 PM,3.168,,
426,03/20/16 03:30:00 PM,3.380,,
427,03/20/16 03:30:00 PM,3.722,,
428,03/20/16 03:30:00 PM,3.932,,
429,03/20/16 03:30:00 PM,4.194,,
430,03/20/16 03:30:00 PM,4.480,,
431,03/20/16 03:30:00 PM,4.792,,
432,03/20/16 03:30:00 PM,5.128,,
433,03/20/16 03:30:00 PM,5.385,,
434,03/20/16 03:30:00 PM,5.719,,
435,03/20/16 03:30:00 PM,5.872,,
436,03/20/16 03:30:00 PM,5.949,,
437,03/20/16 03:30:00 PM,5.949,,
438,03/20/16 03:30:00 PM,5.872,,
439,03/20/16 03:30:00 PM,5.796,,
440,03/20/16 03:30:00 PM,5.693,,
441,03/20/16 03:30:00 PM,5.539,,
442,03/20/16 03:30:00 PM,5.360,,
443,03/20/16 03:30:00 PM,5.231,,
444,03/20/16 03:30:00 PM,5.102,,
445,03/20/16 03:30:00 PM,5.050,,
446,03/20/16 03:30:00 PM,5.076,,
447,03/20/16 03:30:00 PM,5.024,,
448,03/20/16 03:30:00 PM,4.947,,
449,03/20/16 03:30:00 PM,4.895,,
450,03/20/16 03:30:00 PM,4.895,,
451,03/20/16 03:30:00 PM,4.921,,
452,03/20/16 03:30:00 PM,4.921,,
453,03/20/16 03:30:00 PM,5.076,,
454,03/20/16 03:30:00 PM,5.102,,
455,03/20/16 03:30:00 PM,5.154,,
456,03/20/16 03:30:00 PM,5.154,,
457,03/20/16 03:30:00 PM,5.076,,
458,03/20/16 03:30:00 PM,4.973,,
459,03/20/16 03:30:00 PM,4.844,,
460,03/20/16 03:30:00 PM,4.688,,
461,03/20/16 03:30:00 PM,4.480,,
462,03/20/16 03:30:00 PM,4.298,,
463,03/20/16 03:30:00 PM,4.141,,
464,03/20/16 03:30:00 PM,3.958,,
465,03/20/16 03:30:00 PM,3.801,,
466,03/20/16 03:30:00 PM,3.617,,
467,03/20/16 03:30:00 PM,3.433,,
468,03/20/16 03:30:00 PM,3.221,,
469,03/20/16 03:30:00 PM,3.063,,
470,03/20/16 03:30:00 PM,2.903,,
471,03/20/16 03:30:00 PM,2.770,,
472,03/20/16 03:30:00 PM,2.717,,
473,03/20/16 03:30:00 PM,2.744,,
474,03/20/16 03:30:00 PM,2.823,,
475,03/20/16 03:30:00 PM,3.063,,
476,03/20/16 03:30:00 PM,3.406,,
477,03/20/16 03:30:00 PM,3.880,,
478,03/20/16 03:30:00 PM,4.480,,
479,03/20/16 03:30:00 PM,4.921,,
480,03/20/16 03:30:00 PM,5.128,,
481,03/20/16 03:30:00 PM,5.179,,
