"","Stream","Location","Season","Month","Year","DayOfYear","Date","Addition","MeanTemp","MaximumTemp","MinimumTemp","Difference","DOY"
"199","Burying Ground","Below Webber Road",1,"03","2015",60,2015-03-01,730,0.00877083333333333,0.051,-0.032,0.083,790
"200","Burying Ground","Below Webber Road",1,"03","2015",61,2015-03-02,730,0.05525,0.079,0.024,0.055,791
"201","Burying Ground","Below Webber Road",1,"03","2015",62,2015-03-03,730,0.0531041666666667,0.135,-0.06,0.195,792
"202","Burying Ground","Below Webber Road",1,"03","2015",63,2015-03-04,730,0.0304375,0.107,-0.06,0.167,793
"203","Burying Ground","Below Webber Road",1,"03","2015",64,2015-03-05,730,0.1990625,0.246,0.107,0.139,794
"204","Burying Ground","Below Webber Road",1,"03","2015",65,2015-03-06,730,0.0258541666666667,0.135,-0.06,0.195,795
"205","Burying Ground","Below Webber Road",1,"03","2015",66,2015-03-07,730,0.0409583333333333,0.135,-0.032,0.167,796
"206","Burying Ground","Below Webber Road",1,"03","2015",67,2015-03-08,730,0.177416666666667,0.356,0.079,0.277,797
"207","Burying Ground","Below Webber Road",1,"03","2015",68,2015-03-09,730,0.356208333333333,0.687,0.135,0.552,798
"208","Burying Ground","Below Webber Road",1,"03","2015",69,2015-03-10,730,0.612083333333333,0.989,0.439,0.55,799
"209","Burying Ground","Below Webber Road",1,"03","2015",70,2015-03-11,730,0.705416666666667,1.017,0.412,0.605,800
"210","Burying Ground","Below Webber Road",1,"03","2015",71,2015-03-12,730,0.9631875,1.317,0.577,0.74,801
"211","Burying Ground","Below Webber Road",1,"03","2015",72,2015-03-13,730,0.519458333333333,1.153,-0.088,1.241,802
"212","Burying Ground","Below Webber Road",1,"03","2015",73,2015-03-14,730,0.887458333333333,1.126,0.687,0.439,803
"213","Burying Ground","Below Webber Road",1,"03","2015",74,2015-03-15,730,1.26752083333333,1.67,0.852,0.818,804
"214","Burying Ground","Below Webber Road",1,"03","2015",75,2015-03-16,730,1.05547916666667,1.778,0.356,1.422,805
"215","Burying Ground","Below Webber Road",1,"03","2015",76,2015-03-17,730,1.3663125,2.021,0.522,1.499,806
"216","Burying Ground","Below Webber Road",1,"03","2015",77,2015-03-18,730,0.0857708333333333,0.467,-0.088,0.555,807
"217","Burying Ground","Below Webber Road",1,"03","2015",78,2015-03-19,730,0.0187708333333333,0.273,-0.088,0.361,808
"218","Burying Ground","Below Webber Road",1,"03","2015",79,2015-03-20,730,-0.0193541666666667,0.079,-0.088,0.167,809
"219","Burying Ground","Below Webber Road",1,"03","2016",61,2016-03-01,1095,2.660875,3.354,1.805,1.549,1156
"220","Burying Ground","Below Webber Road",1,"03","2016",62,2016-03-02,1095,2.35479166666667,3.036,0.962,2.074,1157
"221","Burying Ground","Below Webber Road",1,"03","2016",63,2016-03-03,1095,0.994479166666667,1.832,0.467,1.365,1158
"222","Burying Ground","Below Webber Road",1,"03","2016",64,2016-03-04,1095,1.446125,2.37,0.852,1.518,1159
"223","Burying Ground","Below Webber Road",1,"03","2016",65,2016-03-05,1095,1.606,2.423,0.797,1.626,1160
"224","Burying Ground","Below Webber Road",1,"03","2016",66,2016-03-06,1095,1.99191666666667,3.274,1.153,2.121,1161
"225","Burying Ground","Below Webber Road",1,"03","2016",67,2016-03-07,1095,2.6245625,4.089,1.48,2.609,1162
"226","Burying Ground","Below Webber Road",1,"03","2016",68,2016-03-08,1095,3.97610416666667,5.36,2.877,2.483,1163
"227","Burying Ground","Below Webber Road",1,"03","2016",69,2016-03-09,1095,5.2560625,7.293,3.643,3.65,1164
"228","Burying Ground","Below Webber Road",1,"03","2016",70,2016-03-10,1095,6.605,7.469,5.847,1.622,1165
"229","Burying Ground","Below Webber Road",1,"03","2016",71,2016-03-11,1095,6.79070833333333,7.895,5.616,2.279,1166
"230","Burying Ground","Below Webber Road",1,"03","2016",72,2016-03-12,1095,5.30122916666667,6.839,3.775,3.064,1167
